intensity,damage_fraction_mean,damage_fraction_min,damage_fraction_max
0.0,0.0,0.0,0.0
0.25,0.048,0.0432,0.0528
0.5,0.096,0.0864,0.1056
0.75,0.144,0.1296,0.1584
1.0,0.192,0.1728,0.2112
1.25,0.216,0.1944,0.2376
1.5,0.24,0.216,0.264
1.75,0.264,0.2376,0.2904
2.0,0.288,0.2592,0.3168
2.25,0.36,0.324,0.396
2.5,0.432,0.3888,0.4752
2.75,0.504,0.4536,0.5544
3.0,0.576,0.5184,0.6336
3.5,1.0,0.9,1.0
4.0,1.0,0.9,1.0
5.0,1.0,0.9,1.0
6.0,1.0,0.9,1.0
